item_id,source_label,target_label,proxy_success,clean_margin,adversarial_margin,margin_gain,caption_success,caption_eval_failed,caption_eval_error,clean_caption,adversarial_caption,vqa_success,vqa_eval_failed,vqa_eval_error,question,source_answer_text,target_answer_text,clean_answer,adversarial_answer,ocr_success,ocr_eval_failed,ocr_eval_error,clean_text,adversarial_text,gpt_success,gpt_eval_failed,gpt_eval_error,gpt_model_name,gpt_task_type,gpt_api_mode,gpt_prompt_mode,gpt_success_mode,gpt_prompt,gpt_clean_output,gpt_adversarial_output,gpt_clean_judge_label,gpt_adversarial_judge_label,gpt_clean_judge_pass,gpt_adversarial_judge_pass
item_00,car,dog,True,-0.31697583198547363,0.4939688369631767,0.8109446689486504,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_01,dog,watch,True,-0.18608354777097702,0.39007098972797394,0.576154537498951,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_02,watch,laptop,True,-0.09249061718583107,0.4401426911354065,0.5326333083212376,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_03,laptop,phone,True,-0.09041177108883858,0.3601226210594177,0.4505343921482563,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_04,phone,car,True,-0.2609940394759178,0.34719379246234894,0.6081878319382668,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_05,car,dog,True,-0.29838526621460915,0.48111556470394135,0.7795008309185505,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_06,dog,watch,True,-0.20047425106167793,0.385362945497036,0.5858371965587139,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_07,watch,laptop,True,-0.10898799821734428,0.4494059756398201,0.5583939738571644,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_08,laptop,phone,True,-0.10231970995664597,0.37380750849843025,0.4761272184550762,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_09,phone,car,True,-0.26486121490597725,0.39393334835767746,0.6587945632636547,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_10,car,dog,True,-0.2785852402448654,0.5061529166996479,0.7847381569445133,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_11,dog,watch,True,-0.19951042532920837,0.45733707398176193,0.6568474993109703,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_12,watch,laptop,True,-0.05216145142912865,0.4547416903078556,0.5069031417369843,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_13,laptop,phone,True,-0.06277544051408768,0.36755863949656487,0.43033408001065254,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_14,phone,car,True,-0.22804748639464378,0.4357457011938095,0.6637931875884533,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_15,car,dog,True,-0.2660594582557678,0.510644543915987,0.7767040021717548,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_16,dog,watch,True,-0.24275854974985123,0.38779836520552635,0.6305569149553776,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_17,watch,laptop,True,-0.06975540891289711,0.47113047540187836,0.5408858843147755,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_18,laptop,phone,True,-0.09482365474104881,0.3634560592472553,0.45827971398830414,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_19,phone,car,True,-0.25519629940390587,0.36803362518548965,0.6232299245893955,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_20,car,dog,True,-0.31438571959733963,0.5017228983342648,0.8161086179316044,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_21,dog,watch,True,-0.23074385151267052,0.45698972046375275,0.6877335719764233,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_22,watch,laptop,True,-0.09114731475710869,0.41360392794013023,0.5047512426972389,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_23,laptop,phone,True,-0.04133614897727966,0.3542424403131008,0.3955785892903805,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_24,phone,car,True,-0.2548111118376255,0.3425071910023689,0.5973183028399944,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_25,car,dog,True,-0.3376156874001026,0.5098632015287876,0.8474788889288902,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_26,dog,watch,True,-0.25819073617458344,0.48878658562898636,0.7469773218035698,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_27,watch,laptop,True,-0.13352381065487862,0.42769742757081985,0.5612212382256985,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_28,laptop,phone,True,0.030688278377056122,0.38705161958932877,0.35636334121227264,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_29,phone,car,True,-0.2430168054997921,0.38725459203124046,0.6302713975310326,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_30,car,dog,True,-0.30844922736287117,0.49046577513217926,0.7989150024950504,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_31,dog,watch,True,-0.25986073166131973,0.5012068562209606,0.7610675878822803,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
item_32,watch,laptop,True,-0.08293062821030617,0.46384884789586067,0.5467794761061668,,False,,,,,False,,What is the main object in the image? Answer in one word.,watch,laptop,,,,False,,,,,False,,,,,,,,,,,,,
item_33,laptop,phone,True,-0.06656815111637115,0.35976874455809593,0.4263368956744671,,False,,,,,False,,What is the main object in the image? Answer in one word.,laptop,phone,,,,False,,,,,False,,,,,,,,,,,,,
item_34,phone,car,True,-0.08510005846619606,0.40557030960917473,0.4906703680753708,,False,,,,,False,,What is the main object in the image? Answer in one word.,phone,car,,,,False,,,,,False,,,,,,,,,,,,,
item_35,car,dog,True,-0.30852722749114037,0.5178758949041367,0.826403122395277,,False,,,,,False,,What is the main object in the image? Answer in one word.,car,dog,,,,False,,,,,False,,,,,,,,,,,,,
item_36,dog,watch,True,-0.2079715020954609,0.3943742886185646,0.6023457907140255,,False,,,,,False,,What is the main object in the image? Answer in one word.,dog,watch,,,,False,,,,,False,,,,,,,,,,,,,
